nhlSeason,gameDate,round,roundGameNo,scoredFirst,roadTeam,rtTotalGoals,rtGoals1P,rtGoals2P,rtGoals3P,rtGoals1OT,rtGoals2OT,rtGoals3OT,rtTotalSOG,rtSOG1P,rtSOG2P,rtSOG3P,rtSOG1OT,rtSOG2OT,rtSOG3OT,rtPowerPlays,rtPPConverted,rtPenMins,rtFaceOffsWon,rtHits,rtBlockedShots,homeTeam,htTotalGoals,htGoals1P,htGoals2P,htGoals3P,htGoals1OT,htGoals2OT,htGoals3OT,htTotalSOG,htSOG1P,htSOG2P,htSOG3P,htSOG1OT,htSOG2OT,htSOG3OT,htPowerPlays,htPPConverted,htPenMins,htFaceOffsWon,htHits,htBlockedShots
1617,2017-04-12,1,1,R,NYR,2,1,0,1,0,0,0,31,5,13,13,0,0,0,4,0,8,28,45,24,MON,0,0,0,0,0,0,0,31,16,9,6,0,0,0,3,0,20,28,53,18
1617,2017-04-12,1,1,H,BOS,2,0,0,2,0,0,0,25,14,0,11,0,0,0,4,0,4,26,27,19,OTT,1,0,1,0,0,0,0,27,9,12,6,0,0,0,2,0,8,26,35,21
1617,2017-04-12,1,1,H,CBJ,1,0,0,1,0,0,0,32,16,4,12,0,0,0,2,0,6,34,49,12,PIT,3,0,3,0,0,0,0,29,3,16,10,0,0,0,3,1,4,41,35,22
1617,2017-04-12,1,1,R,STL,2,0,1,0,1,0,0,26,9,6,6,5,0,0,4,0,6,33,18,21,MIN,1,0,0,1,0,0,0,52,10,16,18,8,0,0,3,0,8,47,35,17
1617,2017-04-12,1,1,H,SJ,3,0,1,1,1,0,0,44,10,10,18,6,0,0,6,1,8,25,34,13,EDM,2,2,0,0,0,0,0,19,10,4,3,2,0,0,3,1,14,19,49,23
1617,2017-04-13,1,1,R,TOR,2,2,0,0,0,0,0,37,15,13,7,2,0,0,1,0,6,38,47,17,WAS,3,1,1,0,1,0,0,44,12,13,13,6,0,0,3,1,2,33,52,11
1617,2017-04-13,1,1,R,NAS,1,1,0,0,0,0,0,20,11,4,5,0,0,0,1,0,4,24,37,26,CHI,0,0,0,0,0,0,0,29,6,12,11,0,0,0,2,0,2,31,33,12
1617,2017-04-13,1,1,H,CAL,2,1,1,0,0,0,0,32,9,11,12,0,0,0,5,1,14,29,33,17,ANA,3,1,2,0,0,0,0,41,17,13,11,0,0,0,7,2,10,49,30,20
1617,2017-04-14,1,2,H,NYR,3,1,2,0,0,0,0,38,9,12,9,8,0,0,3,0,15,39,74,28,MON,4,2,0,1,1,0,0,58,9,18,18,13,0,0,4,0,13,38,55,17
1617,2017-04-14,1,2,H,CBJ,1,0,1,0,0,0,0,40,12,16,12,0,0,0,2,0,28,25,51,13,PIT,4,1,1,2,0,0,0,32,7,12,13,0,0,0,2,0,6,33,30,23
