nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
1,2016-09-08,N,CAR,20,7,10,0,3,0,21,9,15,0,0,333,157,176,1,2,8,85,DEN,21,0,7,0,14,0,21,5,10,1,1,307,148,159,3,3,4,22
1,2016-09-11,N,BUF,7,0,7,0,0,0,11,3,13,2,2,160,65,95,0,4,8,89,BAL,13,3,7,0,3,0,18,6,15,0,1,308,83,225,1,2,6,35
1,2016-09-11,N,TB,31,3,14,14,0,0,20,3,9,0,0,371,90,281,1,3,6,48,ATL,24,10,3,8,3,0,19,3,13,1,2,374,52,322,0,0,7,74
1,2016-09-11,N,CIN,23,3,10,7,3,0,18,3,11,0,0,381,57,324,1,1,5,44,NYJ,22,7,9,0,6,0,22,4,12,0,0,340,152,188,1,7,7,95
1,2016-09-11,N,OAK,35,10,0,3,22,0,25,4,11,0,0,486,167,319,0,1,14,141,NO,34,3,14,7,10,0,27,4,11,1,1,507,88,419,1,0,7,53
1,2016-09-11,N,CHI,14,7,7,0,0,0,14,4,13,0,2,258,73,185,1,2,4,30,HOU,23,0,10,3,10,0,17,12,20,0,0,344,129,215,1,5,6,69
1,2016-09-11,N,GB,27,7,14,3,3,0,18,7,14,1,1,294,95,199,0,3,5,24,JAX,23,7,10,3,3,0,20,4,15,3,4,348,48,300,1,1,9,79
1,2016-09-11,N,MIN,25,0,0,12,13,0,15,6,14,0,0,301,65,236,0,2,3,39,TEN,16,3,7,0,6,0,19,8,14,0,0,316,64,252,3,0,2,10
1,2016-09-11,Y,SD,27,7,14,3,3,0,25,7,15,0,0,388,155,233,0,3,5,30,KC,33,3,0,7,17,6,26,5,14,2,2,413,83,330,1,1,6,46
1,2016-09-11,N,CLE,10,0,7,3,0,0,14,2,10,0,2,288,120,168,1,2,4,15,PHI,29,7,6,9,7,0,23,5,15,1,1,403,133,270,0,3,7,46
